dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description
15K656,program3,Dance,11,10,NA,"The studio offers dance students the opportunity to develop skills in professional venues with professional teaching artists. Students gain performance skills and understanding of the techniques of Lester Horton and Martha Graham. Students develop their talents in classical ballet, contemporary and modern dance. Technique classes include ballet, modern, and jazz. Two years of specialty classes in choreography, composition, pointe, college portfolio, and audition classes are offered as well.",Priority to Brooklyn students or residents for up to 50% of the seats,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn High School of the Arts,NA,"345 Dean Street, Brooklyn NY 11217 (40.683951,-73.980266)",http://www.brooklynartshs.nyc/,930,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible
15K656,program4,Vocal Music,8,11,NA,"The Vocal Studio is an intensive study of music theory, vocal production and performance, and utilizes a repertoire that includes classical, jazz, gospel, contemporary, and folk. We offer multiple levels of choir, exploring all styles from traditional choral greats to pop music of today. Choirs perform regularly at professional venues throughout New York City. The Select Choir studies and performs NYSSMA level five or six pieces, and participates annually in the NYSSMA competition.",Priority to Brooklyn students or residents for up to 50% of the seats,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn High School of the Arts,NA,"345 Dean Street, Brooklyn NY 11217 (40.683951,-73.980266)",http://www.brooklynartshs.nyc/,930,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible
15K656,program5,Drama,9,8,NA,"The studio provides theater students with rigorous, differentiated and sequential high quality theater training in order to reach their full potential in college and careers in theater and other fields. Daily classes are provided by professional theater artists. Students have the opportunity to explore a vast spectrum of theater work, including acting, voice and diction, movement, theater history, set design, directing and creating original work. Students perform on Broadway stages citywide.",Priority to Brooklyn students or residents for up to 50% of the seats,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn High School of the Arts,NA,"345 Dean Street, Brooklyn NY 11217 (40.683951,-73.980266)",http://www.brooklynartshs.nyc/,930,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible
15K667,program1,Sunset Park High School,3,4,NA,"We are a college-preparatory school. Part of our mission is to ensure all students graduate within four years having choices in post-secondary educational options that best match their short and long term career goals. We are unwavering in accomplishing this in an inclusive environment undergirded by our core values of equity, community and collaboration. Learner-led inquiry learning is the way we see all students grow.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Sunset Park High School,NA,"153 35th Street, Brooklyn NY 11232 (40.655583,-74.004342)",http://www.sunsetparkhighschool.org,1239,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Extended Year,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation",Fully Accessible
15K667,program2,Sunset Park High School D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sunset Park High School,NA,"153 35th Street, Brooklyn NY 11232 (40.655583,-74.004342)",http://www.sunsetparkhighschool.org,1239,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Extended Year,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation",Fully Accessible
15K684,program1,Millennium Brooklyn,38,28,NA,NA,Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 44%,2018-19 Final Grades - 28%,2019-20 Marking Period Grades - 28%,NA,NA,Millennium Brooklyn High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"237 7th Avenue, Brooklyn NY 11215 (40.669255,-73.97858)",www.millenniumbrooklynhs.org,684,"10th Grade Seats Available,Diversity in Admissions",Fully Accessible
15K684,program2,Millennium Brooklyn HS ASD Nest Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Millennium Brooklyn High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"237 7th Avenue, Brooklyn NY 11215 (40.669255,-73.97858)",www.millenniumbrooklynhs.org,684,"10th Grade Seats Available,Diversity in Admissions",Fully Accessible
16K455,program1,Brooklyn STEAM Center,5,11,Open only to Brooklyn students or residents,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses in four industry areas: information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit and will also offer opportunities to complete work-based learning sequences (e.g. internships) to provide pathways to employment and/or post-secondary credentials.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys and Girls High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",boysandgirlshs.org,452,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
16K455,program2,Smart Scholars Early College Program,5,6,Open only to Brooklyn students or residents,This program is comprised of a rigorous curriculum which gives scholars an opportunity to earn a New York State high school diploma and 30 transferable college credits and/or enrichment high school credits from Long Island University and the College Now program at the New York City College of Technology.,NA,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,Boys and Girls High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",boysandgirlshs.org,452,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
16K455,program3,Institute for Career & Technical Education,2,4,Open only to Brooklyn students or residents,"This program provides students with rigorous academic course-work and a sequence of applied skills in the following career pathways: Electrical Installation, Architecture, Computer Programming, and Theater Arts. Students will have the opportunity to earn an Advanced Regents diploma, pursue industry-recognized credentials and additional industry training, and receive support to enter the workforce.",NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys and Girls High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",boysandgirlshs.org,452,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
16K455,program4,Boys and Girls High School ACES 12:1:1 Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Boys and Girls High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",boysandgirlshs.org,452,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
16K455,program5,Zoned,N/A - zoned program,N/A - zoned program,Open only to Brooklyn students or residents,Zoned students have access to all Boys and Girls High School programs including Advanced Placement and other college level courses and specialized electives.,Guaranteed offer to students who live in the zoned area,Then to Brooklyn students or residents,NA,NA,NA,NA,NA,NA,NA,Boys and Girls High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",boysandgirlshs.org,452,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
16K498,program1,Law Program,13,10,NA,"Brooklyn HS for Law and Technology has a partnership through the Justice Resource Center and offers courses, internships, and participation in mock trials. All curriculum materials are aligned with the Common Core standards and some programs equate to college credit. Students develop their potential by engaging in challenging law-related projects whereby they learn research, teamwork and critical thinking skills. Most classes are taught by a New York State board certified attorney.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,Brooklyn High School for Law and Technology,NA,"1396 Broadway, Brooklyn NY 11221 (40.688399,-73.920603)",https://www.bklawtech.com/,578,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation",Fully Accessible
16K498,program2,Computer Technology,12,14,NA,Introduction to computer science through the use of current technology to provide students with job readiness skills.,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Brooklyn High School for Law and Technology,NA,"1396 Broadway, Brooklyn NY 11221 (40.688399,-73.920603)",https://www.bklawtech.com/,578,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation",Fully Accessible
16K688,program1,Brooklyn Academy of Global Finance,3,3,NA,Students study a sequence in business and finance along with high school requirements. Students may also choose a sequence or electives in Computer Science and Technology.,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Brooklyn Academy of Global Finance, The",NA,"125 Stuyvesant Avenue, Brooklyn NY 11221 (40.691467,-73.932254)",www.bkagf.org,126,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Dress Code,Extended Day Program,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Not Accessible
16K765,program1,Nelson Mandela School for Social Justice,3,6,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Nelson Mandela High School,NA,"1700 Fulton Street, Brooklyn NY 11213 (40.678478,-73.931604)",http://mandelaschoolnyc.org/about/,231,"College Trips,Health Center,Internships Available,Online Grading System,Summer Bridge,Weekend Programs",Partially Accessible
17K122,program1,Pathways in Technology Early College High School,10,12,NA,Students may take up to six years to complete their high school program which includes earning an Associate degree (or up to two years of college credit) and participating in internships.,Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Pathways in Technology Early College High School (P-TECH),NA,"150 Albany Avenue, Brooklyn NY 11213 (40.675905,-73.939282)",https://www.ptechnyc.org/,574,"Career and Technical Education (CTE),Early College,LYFE (Living For The Young Family Through Education)",Fully Accessible
17K382,program1,Academy for College Preparation and Career Exploration,6,7,NA,Academy for College Preparation and Career Exploration prepares students for the world of tomorrow by providing a challenging high school curriculum in addition to a rigorous college program at CUNY New York City College of Technology. Our small learning community offers all students supports and challenges. ACPCE students receive a substantial head start when applying to college by graduating with college credits and paid work-based learning experiences at leading business and tech companies.,Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Academy for College Preparation and Career Exploration: A College Board School,NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",www.academyforcollegeprep.com,346,"College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Extended Year,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
17K408,program1,"Culinary Arts, Business, Hospitality, and Tourism",5,8,NA,"During 9th grade students will be exposed to one course in Culinary Arts and one in Business, Hospitality, and Tourism. Students will then select their program of interest and will follow that pathway which culminates in an Industry certified exam and a CTE endorsed diploma.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Academy of Hospitality and Tourism,NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",http://aohterasmus.org/,244,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
17K524,program1,International High School at Prospect Heights,2,2,"Open only to New York City residents living in the continental United States four years or fewer who currently identify as English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,International High School at Prospect Heights,NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.schools.nyc.gov/schools/K524,370,"10th Grade Seats Available,LYFE (Living For The Young Family Through Education)",Partially Accessible
17K528,program1,Engineering,13,9,NA,"This program is taught by certified Project Lead the Way teachers. Engineering students engage in open-ended problem solving, learn and apply the engineering design process, and use the same industry-leading technology and software as are used in the world's companies. Students are immersed in design as they investigate topics such as ethics, sustainability, mechatronics, forces, structure, aerodynamics, digital electronics, circuit design, manufacture, and the environment.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"High School for Global Citizenship, The",NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.hs-gc.org/,222,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Summer Bridge,Uniform",Partially Accessible
17K528,program2,Biomedical Science,10,5,NA,"From the moment students walk into the classroom, they are immersed in the mysterious death of Anna and asked to investigate, document, and analyze evidence to solve the case. Case-based scenarios like this one span all PLTW biomedical science courses. Students explore a range of careers in biomedical sciences as they learn content in the context of real-world, hands-on activities, projects, and problems.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"High School for Global Citizenship, The",NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.hs-gc.org/,222,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Summer Bridge,Uniform",Partially Accessible
17K528,program3,Computer Science,13,14,NA,"This program is designed to build student interest and engagement in computer science and prepare more students for great career opportunities that require computational thinking. The program comprises introductory, foundation, and specialty courses.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"High School for Global Citizenship, The",NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.hs-gc.org/,222,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Summer Bridge,Uniform",Partially Accessible
17K528,program4,Brooklyn STEAM Center,7,7,NA,"Science, Technology, Engineering, Arts, and Math (STEAM) provides a CTE focus on a range of courses in four industry areas: information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit and will also offer opportunities to complete work-based learning sequences (e.g. internships) to provide pathways to employment and/or post-secondary credentials.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,"High School for Global Citizenship, The",NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.hs-gc.org/,222,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Summer Bridge,Uniform",Partially Accessible
17K531,program1,Human Rights & Technology,2,5,NA,"In addition to four years of ELA, History, Advanced Math and Science, students are immersed in a multi-year sequence in Web Design & Programming or Computer Science. Students are immersed in diverse technological programs through a balance of classroom instruction and hands-on production. Students are able to put the theory and hands-on-experience into practice. Our technological courses are designed to help teach the technical skills students need to compete in the 21st century.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"School for Human Rights, The",NA,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671,-73.943839)",www.tsfhr.org,326,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Uniform,Weekend Programs",Not Accessible
17K537,program1,College and Career Exploration,6,10,NA,"This is a program for students to accelerate their completion of their high school requirements. In the 11th grade, students will take AP classes at our school; College Now classes, and internships with partner organizations. In the 20-21 school year, students from partner middle schools will participate in the pilot of our Early High School program, starting in the 8th grade. Interested students will also participate in multiple programs in partnership with SUNY Downstate.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,High School for Youth and Community Development at Erasmus,NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",ycdhs.org,466,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible
17K537,program2,21st Century Design and Communication,4,7,NA,"In this program, students follow any of several potential career pathways, participating in learning activities and apprenticeship in the various career fields of advertising, graphic design, coding, public speaking, news/sports casting & writing. Courses beginning in the 9th grade include: Graphic Design 1 & 2, Sportscasting and Sports Writing, Public Speaking, Advertising, Coding, Computer Science and AP Computer Science",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,High School for Youth and Community Development at Erasmus,NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",ycdhs.org,466,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible
17K539,program1,High School for Service & Learning,3,4,NA,Students are working towards service learning hours that will result in a service learning endorsed diploma. Students have choices in internships that anchor to career path interests.,Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,High School for Service & Learning at Erasmus,NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",https://www.schools.nyc.gov/schools/K539,299,10th Grade Seats Available,Partially Accessible
17K543,program1,Early College,13,8,NA,"STAR is a participating Brooklyn STEAM school. The ""Brooklyn STEAM Center"" is a technical education hub being developed at the Brooklyn Navy Yard that will allow students from eight high schools to participate in a STEAM (science, technology, engineering, arts, and math) program model focused on five industry areas including information technology, media and design, engineering, construction, and culinary arts. Each school year a cohort of 25 9th grade students are selected to participate.",Priority to continuing 8th graders,Then to Brooklyn students or residents,Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 45%,2018-19 Final Grades - 15%,2019-20 Marking Period Grades - 10%,Interview - 15%,Online Admissions Activity - 15%,"Science, Technology and Research Early College High School at Erasmus (STAR)",NA,"911 Flatbush Avenue, Brooklyn NY 11226 (40.649602,-73.957173)",https://starearlycollege.org/,624,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Early College,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
17K546,program1,Law Academy-HSPS,18,17,NA,"Criminal, civil and constitutional law, juvenile justice, corrections, and criminology. Students will explore education requirements of lawyers, paralegals, court reporters, judges, police officers, criminal psychologists, and criminal investigators with the aid of an assigned mentor. Course sequence includes: Global and US History, Intro to Legal Studies, Advanced Topics in Law, Constitutional Law, Law and Literature, Social Sciences and the Law, Argument and Debate, and The Art of Public Speaking.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,High School for Public Service: Heroes of Tomorrow,NA,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671,-73.943839)",https://www.highschoolforpublicservice.com/,475,10th Grade Seats Available,Not Accessible
17K546,program2,Medical Science and Careers Academy,11,7,NA,"Medical science curriculum with clinical applications to explore healthcare career options. Coursework focus areas include anatomy & physiology, immunology, hydroponics, infectious diseases and public health with hands-on experience at SUNY Downstate Medical Center & Kings County Hospital. Specific Course Sequencing: Microbiology, Medical Science, Medicine and Literature, AP Biology, Health Careers, CPR and First Aide Certification, Health, Living Environment, Earth Science, Chemistry, and Physics.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,High School for Public Service: Heroes of Tomorrow,NA,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671,-73.943839)",https://www.highschoolforpublicservice.com/,475,10th Grade Seats Available,Not Accessible
17K546,program3,Urban Farming and Agricultural Sciences,7,16,NA,"Students will engage in a sequence of courses and project based learning opportunities to gain knowledge in Urban Farming, Food Justice, Hydroponics, and Agricultural Sciences blended with a commitment to community service embedded in the surrounding community. Coursework includes: Food Justice, Botany, Growing Soils, Environmental Carpentry and Building, Ecosystems, Crop Management, Irrigation, Small Farm Planning, and AP Environmental Science.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,High School for Public Service: Heroes of Tomorrow,NA,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671,-73.943839)",https://www.highschoolforpublicservice.com/,475,10th Grade Seats Available,Not Accessible
17K547,program1,Science Exploration Program,4,4,NA,"Integrated curriculum includes lab-based learning and hands-on experiences. Our program exposes students to a wide-range of science pathways including computer science, environmental justice, urban ecology, and anatomy and physiology. Includes real-world experiences such as job shadowing, mentoring, internships and paid job opportunities through our many partnerships. Selection criteria: Attendance (100-85%), Science grades (100-70), State ELA and Math exam scores (4-2).",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn Academy of Science and the Environment (BASE),NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",basehighschool.org,342,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation",Partially Accessible
17K548,program1,Performing and Visual Arts,5,7,NA,"9th and 10th grade seats available. College Trips, Talent Shows, Free SAT Prep, Saturday Programs, Health Center, Full time Social Worker and Substance Abuse Counselor, Restorative Justice, Relationship Abuse Counselor (RAPP), Art Programs (Dance, Drama, Instrumental Music, Technical Theater, Vocal Music), CTE, Freshmen Orientation.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn School for Music & Theatre,NA,"883 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",bkmusicntheatre.com,278,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Tutoring,Extended Year,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible
17K590,program1,"Science, Math and Technology",15,7,NA,Math and Technology path: three years of computer science or information technology leading to A+/and or Networking Certification and internships. Excel Program leads to Dual Enrollment at Medgar Evers College.  Science and Research path: students must complete a research project for submission to a major science competition and take AP and/or undergraduate courses in science and research.,Priority to continuing 8th graders,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 30%,2018-19 Final Grades - 30%,2019-20 Marking Period Grades - 40%,NA,NA,Medgar Evers College Preparatory School,NA,"1186 Carroll Street, Brooklyn NY 11225 (40.66679,-73.951823)",mecps.org,1414,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Program,Health Center,Orientation,Summer Orientation,Uniform,Weekend Programs",Partially Accessible
17K600,program1,Health Career Professions,3,3,NA,"Preparation for entry-level positions in the health field, as well as admission to two- and four-year colleges.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Clara Barton High School,NA,"901 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.clarabartonhs.org/,1253,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
17K600,program2,Bilingual Haitian Creole,1,1,Open only to students whose home language is Haitian Creole,Health Career Professions program.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clara Barton High School,NA,"901 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.clarabartonhs.org/,1253,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
17K600,program3,Gateway Honors,7,6,NA,"A challenging program that prepares students for college and careers in medicine, dentistry, allied health professions, science, math, and engineering.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,Clara Barton High School,NA,"901 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.clarabartonhs.org/,1253,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
17K600,program4,Clara Barton High School D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clara Barton High School,NA,"901 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.clarabartonhs.org/,1253,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
17K600,program5,Clara Barton High School ACES 15:1 Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clara Barton High School,NA,"901 Classon Avenue, Brooklyn NY 11225 (40.669805,-73.960689)",https://www.clarabartonhs.org/,1253,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Orientation,Weekend Programs",Partially Accessible
17K646,program1,Aspirations Diploma Plus High School,NA,NA,"For Current Eighth Grade Students - Open only to students who are at least 15 years of age, entering high school for the first time, and have 0-4 credits. For Other Students - Open only to students who are at least 16 years of age and have 0-12 credits.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aspirations Diploma Plus High School,NA,"402 Eastern Parkway, Brooklyn NY 11225 (0,0)",www.aspirations-the-dream.com,200,"10th Grade Seats Available,Extended Day Program,Extended Day Tutoring,Internships Available,Student Parent Orientation",Partially Accessible
17K745,program1,"Humanities, Arts & STEM",8,10,NA,"This is an ideal school for students who want the best academic and technological foundation to prepare them for college or career. We have challenging blended-learning and online classes with opportunities for students to succeed in a supportive and friendly community. Students go to college early, and monthly trips are part of a curriculum that allows them to experience the ever-changing world. We use a variety of technology to enhance learning and develop life-changing 21st century skills.",Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Brooklyn Institute for Liberal Arts (BILA),NA,"600 Kingston Avenue, Brooklyn NY 11203 (40.658671,-73.943839)",http://www.bilanyc.net,461,NA,Not Accessible
17K751,program1,Academy for Health Careers,7,7,NA,NA,Priority to Brooklyn students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Academy for Health Careers,NA,"150 Albany Avenue, Brooklyn NY 11213 (40.675905,-73.939282)",www.academyhc.org,277,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,LYFE (Living For The Young Family Through Education),Orientation,Summer Internships,Summer Orientation,Uniform",Fully Accessible
